,0
533,1
534,0
535,0
536,0
537,0
538,0
539,1
540,0
541,1
542,1
543,1
544,0
545,1
546,0
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,1
602,1
603,1
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,0
613,0
614,1
615,0
616,1
617,1
618,1
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,1
639,0
640,1
641,0
642,0
643,0
644,1
645,0
646,1
647,0
648,0
649,0
650,1
651,1
652,0
653,1
654,0
655,1
656,0
657,0
658,0
659,1
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,1
671,1
672,0
673,1
674,0
675,0
676,1
677,1
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,0
694,0
695,1
696,0
697,0
698,1
699,1
700,1
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,1
711,0
712,0
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,0
730,0
731,1
732,1
733,1
734,0
735,1
736,0
737,0
738,1
739,1
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,1
755,0
756,0
757,0
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,0
767,0
768,1
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,1
787,1
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,0
798,0
799,0
800,1
801,1
802,1
803,1
804,0
805,0
806,1
807,1
808,0
809,0
810,1
811,0
812,0
813,1
814,1
815,0
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,1
828,1
829,1
830,0
831,0
832,0
833,0
834,1
835,0
836,1
837,1
838,1
839,0
840,0
841,0
842,0
843,1
844,1
845,1
846,1
847,0
848,0
849,0
850,0
851,1
852,1
853,0
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,0
867,1
868,0
869,0
870,1
871,1
872,0
873,1
874,1
875,0
876,0
877,1
878,1
879,0
880,0
881,1
882,0
883,0
884,0
885,1
886,1
887,1
888,0
889,0
890,1
891,1
892,0
893,0
894,1
895,0
896,1
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,1
905,1
906,1
907,0
908,0
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,1
917,1
918,1
919,1
920,0
921,1
922,1
923,0
924,1
925,1
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,0
940,0
941,1
942,1
943,1
944,1
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,0
964,1
965,0
966,0
967,1
968,1
969,0
970,1
971,0
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,0
980,0
981,1
982,0
983,0
984,1
985,0
986,0
987,1
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,1
1065,1
1066,0
1067,0
1068,1
1069,1
1070,0
1071,1
1072,0
1073,0
1074,1
1075,0
1076,0
1077,0
1078,1
1079,1
1080,1
1081,1
1082,0
1083,1
1084,1
1085,0
1086,1
1087,1
1088,0
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,1
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,0
1156,1
1157,0
1158,0
1159,1
1160,1
1161,0
1162,0
1163,0
1164,1
1165,0
1166,1
1167,1
1168,0
1169,1
1170,1
1171,0
1172,1
1173,1
1174,0
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,1
1186,0
1187,0
1188,0
1189,1
1190,0
1191,1
1192,1
1193,0
1194,0
1195,1
1196,1
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,1
1210,1
1211,0
1212,0
1213,1
1214,0
1215,1
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,1
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
1229,1
1230,1
1231,0
1232,1
1233,0
1234,0
1235,1
1236,1
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,1
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,1
1253,0
1254,0
1255,0
1256,1
1257,1
1258,0
1259,0
1260,0
1261,1
1262,0
1263,1
1264,0
1265,0
1266,0
1267,1
1268,0
1269,1
1270,1
1271,0
1272,1
1273,1
1274,0
1275,0
1276,0
1277,1
1278,1
1279,1
1280,1
1281,1
1282,0
1283,0
1284,1
1285,1
1286,1
1287,0
1288,1
1289,1
1290,0
1291,0
1292,0
1293,1
1294,1
1295,0
1296,0
1297,1
1298,0
1299,1
1300,1
1301,0
1302,0
1303,1
1304,0
1305,1
1306,0
1307,1
1308,0
1309,0
1310,0
1311,0
1312,0
1313,1
1314,1
1315,0
1316,1
1317,0
1318,0
1319,0
1320,0
1321,0
1322,1
1323,0
1324,1
1325,1
1326,0
1327,1
1328,0
1329,0
1330,1
1331,1
1332,1
1333,0
1334,0
1335,1
1336,0
1337,1
1338,0
1339,1
1340,1
1341,0
1342,0
1343,0
1344,1
1345,0
1346,1
1347,1
1348,0
1349,0
1350,1
1351,1
1352,0
1353,0
1354,1
1355,0
1356,1
1357,1
1358,0
1359,0
1360,1
1361,1
1362,1
1363,1
1364,0
1365,1
1366,1
1367,0
1368,0
1369,0
1370,1
1371,0
1372,1
1373,1
1374,0
1375,0
1376,1
1377,1
1378,0
1379,1
1380,0
1381,1
1382,1
1383,0
1384,1
1385,1
1386,1
1387,0
1388,0
1389,1
1390,0
1391,1
1392,0
1393,0
1394,0
1395,0
1396,1
1397,0
1398,0
1399,1
1400,1
1401,0
1402,1
1403,1
1404,0
1405,1
1406,0
1407,0
1408,1
1409,0
1410,1
1411,1
1412,1
1413,0
1414,0
1415,0
1416,1
1417,0
1418,1
1419,0
1420,1
1421,1
1422,0
1423,0
1424,1
1425,1
1426,1
1427,1
1428,0
1429,0
1430,0
1431,0
1432,1
1433,0
1434,1
1435,1
1436,0
1437,1
1438,0
1439,1
1440,1
1441,1
1442,1
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,1
1450,1
1451,0
1452,1
1453,0
1454,0
1455,0
1456,1
1457,0
1458,1
1459,1
1460,1
1461,0
1462,0
1463,0
1464,1
1465,0
1466,1
1467,0
1468,1
1469,0
1470,0
1471,0
1472,0
1473,1
1474,1
1475,1
1476,1
1477,1
1478,0
1479,0
1480,1
1481,1
1482,0
1483,0
1484,1
1485,0
1486,0
1487,0
1488,1
1489,0
1490,1
1491,0
1492,1
1493,1
1494,0
1495,0
1496,1
1497,0
1498,1
1499,1
1500,1
1501,1
1502,0
1503,1
1504,1
1505,0
1506,1
1507,1
1508,1
1509,0
1510,0
1511,0
1512,1
1513,1
1514,0
1515,1
1516,1
1517,1
1518,0
1519,1
1520,1
1521,0
1522,1
1523,0
1524,0
1525,1
1526,1
1527,1
1528,0
1529,1
1530,1
1531,1
1532,0
1533,1
1534,0
1535,1
1536,0
1537,0
1538,0
1539,0
1540,1
1541,1
1542,0
1543,0
1544,1
1545,1
1546,0
1547,1
1548,1
1549,1
1550,1
1551,0
1552,0
1553,1
1554,0
1555,0
1556,1
1557,1
1558,1
1559,0
1560,0
1561,0
1562,1
1563,1
1564,1
1565,1
1566,0
1567,0
1568,0
1569,0
1570,1
1571,0
1572,0
1573,0
1574,1
1575,0
1576,1
1577,0
1578,0
1579,1
1580,0
1581,0
1582,1
1583,1
1584,1
1585,0
1586,1
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,1
1596,0
1597,0
1598,1
1599,0
1600,1
1601,0
1602,1
1603,0
1604,1
1605,0
1606,1
1607,1
1608,1
1609,1
1610,1
1611,0
1612,0
1613,0
1614,1
1615,0
1616,1
1617,1
1618,0
1619,1
1620,1
1621,1
1622,0
1623,0
1624,1
1625,1
1626,0
1627,1
1628,0
1629,0
1630,1
1631,0
1632,0
1633,1
1634,1
1635,0
1636,0
1637,0
1638,0
1639,0
1640,1
1641,0
1642,1
1643,1
1644,0
1645,0
1646,1
1647,1
1648,1
1649,0
1650,0
1651,0
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,0
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,0
1670,0
1671,0
1672,0
1673,0
1674,1
1675,1
1676,1
1677,1
1678,0
1679,0
1680,0
1681,1
1682,0
1683,1
1684,0
1685,0
1686,1
1687,1
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,1
1695,1
1696,0
1697,0
1698,0
1699,1
1700,1
1701,1
1702,1
1703,0
1704,0
1705,1
1706,0
1707,1
1708,0
1709,0
1710,0
1711,1
1712,1
1713,1
1714,1
1715,0
1716,0
1717,0
1718,1
1719,1
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,1
1727,0
1728,0
1729,1
1730,1
1731,1
1732,1
1733,0
1734,1
1735,0
1736,1
1737,0
1738,1
1739,1
1740,0
1741,1
1742,0
1743,1
1744,0
1745,1
1746,0
1747,1
1748,0
1749,0
1750,0
1751,1
1752,1
1753,0
1754,0
1755,1
1756,1
1757,1
1758,0
1759,0
1760,1
1761,1
1762,0
1763,1
1764,1
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,1
1772,1
1773,0
1774,0
1775,0
1776,1
1777,0
1778,1
1779,0
1780,0
1781,0
1782,1
1783,1
1784,0
1785,0
1786,1
1787,1
1788,1
1789,0
1790,0
1791,1
1792,0
1793,1
1794,1
1795,1
1796,1
1797,1
1798,0
1799,1
1800,1
1801,0
1802,1
1803,0
1804,0
1805,0
1806,1
1807,0
1808,1
1809,1
1810,0
1811,0
1812,0
1813,1
1814,0
1815,1
1816,0
1817,0
1818,1
1819,1
1820,0
1821,1
1822,0
1823,1
1824,1
1825,0
1826,0
1827,1
1828,1
1829,0
1830,1
1831,0
1832,0
1833,1
1834,1
1835,1
1836,0
1837,1
1838,1
1839,0
1840,0
1841,0
1842,1
1843,0
1844,0
1845,1
1846,0
1847,0
1848,0
1849,0
1850,1
1851,1
1852,1
1853,0
1854,0
1855,0
1856,1
1857,0
1858,0
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,0
1866,0
1867,1
1868,0
1869,0
1870,1
1871,1
1872,0
1873,1
1874,0
1875,1
1876,0
1877,1
1878,0
1879,1
1880,0
1881,1
1882,1
1883,1
1884,1
1885,1
1886,0
1887,1
1888,1
1889,0
1890,1
1891,0
1892,1
1893,0
1894,0
1895,0
1896,0
1897,1
1898,0
1899,1
1900,1
1901,0
1902,1
1903,1
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,1
1911,1
1912,1
1913,1
1914,0
1915,0
1916,1
1917,1
1918,1
1919,0
1920,1
1921,0
1922,1
1923,0
1924,1
1925,1
1926,1
1927,1
1928,0
1929,0
1930,1
1931,0
1932,0
1933,0
1934,1
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,1
1942,0
1943,0
1944,0
1945,0
1946,1
1947,0
1948,1
1949,1
1950,1
1951,0
1952,0
1953,0
1954,1
1955,0
1956,1
1957,0
1958,1
1959,0
1960,0
1961,1
1962,0
1963,1
1964,1
1965,0
1966,0
1967,0
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,0
1976,0
1977,1
1978,0
1979,1
1980,1
1981,0
1982,0
1983,0
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
